street_name,latitude,longitude
LOR 1 TOA PAYOH,1.339826454,103.8481499
LOR 1A TOA PAYOH,1.337086355,103.8447861
LOR 2 TOA PAYOH,1.336114855,103.846267
LOR 3 GEYLANG,1.315119455,103.8730301
LOR 3 TOA PAYOH,1.338074854,103.8480185
LOR 4 TOA PAYOH,1.335650255,103.8507447
LOR 5 TOA PAYOH,1.336580755,103.8527065
LOR 6 TOA PAYOH,1.338128254,103.8533699
LOR 7 TOA PAYOH,1.337439054,103.8563468
LOR 8 TOA PAYOH,1.339848154,103.8564385
LOR AH SOO,1.351553754,103.8847889
LOR LEW LIAN,1.350134954,103.8772622
LOR LIMAU,1.324191955,103.8549327
LOWER DELTA RD,1.280703056,103.8236063
MACPHERSON LANE,1.331979255,103.8851571
MARGARET DR,1.296902956,103.8082901
MARINE CRES,1.305400255,103.9119957
MARINE DR,1.303655755,103.9089571
MARINE PARADE CTRL,1.302106355,103.9065062
MARINE TER,1.305167555,103.9152949
MARSILING CRES,1.448219451,103.7748725
MARSILING DR,1.442328652,103.7750107
MARSILING LANE,1.445136951,103.7757688
MARSILING RD,1.438744452,103.7761272
MARSILING RISE,1.439402252,103.7811026
MCNAIR RD,1.319533455,103.8580431
MEI LING ST,1.294336256,103.8031561
MOH GUAN TER,1.283942956,103.8304937
MONTREAL DR,1.451824051,103.8244053
MONTREAL LINK,1.450770951,103.8269509
MOULMEIN RD,1.319106255,103.8484495
NEW MKT RD,1.287231356,103.8446721
NEW UPP CHANGI RD,1.324583655,103.9350995
NILE RD,1.289653642,103.8275581
NTH BRIDGE RD,1.294722056,103.8527655
OLD AIRPORT RD,1.307769055,103.8857627
OUTRAM HILL,1.284490356,103.8361814
OUTRAM PK,1.280427878,103.8393284
OWEN RD,1.314835055,103.852107
PANDAN GDNS,1.320334558,103.7480218
PASIR RIS DR 1,1.371170254,103.9487945
PASIR RIS DR 3,1.375034353,103.9516136
PASIR RIS DR 4,1.373651254,103.9608687
PASIR RIS DR 6,1.372085054,103.9567352
PASIR RIS DR 10,1.379754053,103.938164
PASIR RIS ST 11,1.365011354,103.9586345
PASIR RIS ST 12,1.366680954,103.958713
PASIR RIS ST 13,1.363504554,103.961589
PASIR RIS ST 21,1.368127754,103.9623445
PASIR RIS ST 41,1.372796454,103.9587832
PASIR RIS ST 51,1.368031804,103.9512304
PASIR RIS ST 52,1.374771453,103.9460751
PASIR RIS ST 53,1.374160953,103.9469944
PASIR RIS ST 71,1.375631953,103.9373667
PASIR RIS ST 72,1.380414653,103.9364554
PAYA LEBAR WAY,1.322863555,103.8835023
PENDING RD,1.376302253,103.7710641
PETIR RD,1.374947153,103.7709319
PINE CL,1.308056225,103.8828883
PIPIT RD,1.323774655,103.8868889
POTONG PASIR AVE 1,1.334981155,103.8669092
POTONG PASIR AVE 2,1.332298655,103.8670714
POTONG PASIR AVE 3,1.333678255,103.8651666
PUNGGOL CTRL,1.399404553,103.9110614
PUNGGOL DR,1.402622553,103.9124792
PUNGGOL EAST,1.395228253,103.9164377
